bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;bulan;tingkat_inflasi_bulan_ke_bulan;satuan
11;Aceh;1174;Lhokseumawe;2022;Agustus;-0,98;Persen
11;Aceh;1174;Lhokseumawe;2022;September;0,9;Persen
11;Aceh;1174;Lhokseumawe;2022;Oktober;0,04;Persen
11;Aceh;1174;Lhokseumawe;2022;November;-0,36;Persen
11;Aceh;1174;Lhokseumawe;2022;Desember;1,51;Persen
11;Aceh;1107;Meulaboh;2022;Januari;0,95;Persen
11;Aceh;1107;Meulaboh;2022;Februari;-0,87;Persen
11;Aceh;1107;Meulaboh;2022;Maret;0,69;Persen
11;Aceh;1107;Meulaboh;2022;April;1,22;Persen
11;Aceh;1107;Meulaboh;2022;Mei;1,26;Persen
11;Aceh;1107;Meulaboh;2022;Juni;1,33;Persen
11;Aceh;1107;Meulaboh;2022;Juli;1,12;Persen
11;Aceh;1107;Meulaboh;2022;Agustus;-0,33;Persen
11;Aceh;1107;Meulaboh;2022;September;0,49;Persen
11;Aceh;1107;Meulaboh;2022;Oktober;0,19;Persen
11;Aceh;1107;Meulaboh;2022;November;-0,62;Persen
11;Aceh;1107;Meulaboh;2022;Desember;0,98;Persen
11;Aceh;1171;Banda Aceh;2023;Januari;0,61;Persen
11;Aceh;1171;Banda Aceh;2023;Februari;0,57;Persen
11;Aceh;1171;Banda Aceh;2023;Maret;-0,57;Persen
11;Aceh;1171;Banda Aceh;2023;April;0,18;Persen
11;Aceh;1171;Banda Aceh;2023;Mei;0,13;Persen
11;Aceh;1171;Banda Aceh;2023;Juni;0,06;Persen
11;Aceh;1171;Banda Aceh;2023;Juli;0,3;Persen
11;Aceh;1171;Banda Aceh;2023;Agustus;-0,27;Persen
11;Aceh;1171;Banda Aceh;2023;September;0,14;Persen
11;Aceh;1171;Banda Aceh;2023;Oktober;-0,25;Persen
11;Aceh;1171;Banda Aceh;2023;November;0,38;Persen
11;Aceh;1171;Banda Aceh;2023;Desember;0,25;Persen
11;Aceh;1174;Lhokseumawe;2023;Januari;0,75;Persen
11;Aceh;1174;Lhokseumawe;2023;Februari;0,51;Persen
11;Aceh;1174;Lhokseumawe;2023;Maret;-0,31;Persen
11;Aceh;1174;Lhokseumawe;2023;April;-0,42;Persen
11;Aceh;1174;Lhokseumawe;2023;Mei;0,51;Persen
11;Aceh;1174;Lhokseumawe;2023;Juni;0,07;Persen
11;Aceh;1174;Lhokseumawe;2023;Juli;-0,04;Persen
11;Aceh;1174;Lhokseumawe;2023;Agustus;0,03;Persen
11;Aceh;1174;Lhokseumawe;2023;September;0,27;Persen
11;Aceh;1174;Lhokseumawe;2023;Oktober;-0,11;Persen
11;Aceh;1174;Lhokseumawe;2023;November;0,19;Persen
11;Aceh;1174;Lhokseumawe;2023;Desember;0,12;Persen
11;Aceh;1107;Meulaboh;2023;Januari;0,76;Persen
11;Aceh;1107;Meulaboh;2023;Februari;0,39;Persen
11;Aceh;1107;Meulaboh;2023;Maret;-0,66;Persen
11;Aceh;1107;Meulaboh;2023;April;-0,7;Persen
11;Aceh;1107;Meulaboh;2023;Mei;0,58;Persen
11;Aceh;1107;Meulaboh;2023;Juni;0,47;Persen
11;Aceh;1107;Meulaboh;2023;Juli;0,22;Persen
11;Aceh;1107;Meulaboh;2023;Agustus;0,06;Persen
11;Aceh;1107;Meulaboh;2023;September;0,45;Persen
11;Aceh;1107;Meulaboh;2023;Oktober;0,3;Persen
11;Aceh;1107;Meulaboh;2023;November;0,22;Persen
11;Aceh;1107;Meulaboh;2023;Desember;-0,67;Persen
