bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,bulan,tingkat_inflasi_tahun_ke_tahun,satuan,
11,Aceh,1174,Lhokseumawe,2019,Agustus,1.46,Persen,
11,Aceh,1174,Lhokseumawe,2019,September,1.89,Persen,
11,Aceh,1174,Lhokseumawe,2019,Oktober,1.92,Persen,
11,Aceh,1174,Lhokseumawe,2019,November,2.15,Persen,
11,Aceh,1174,Lhokseumawe,2019,Desember,1.2,Persen,
11,Aceh,1107,Meulaboh,2019,Januari,2.02,Persen,
11,Aceh,1107,Meulaboh,2019,Februari,1.55,Persen,
11,Aceh,1107,Meulaboh,2019,Maret,1.74,Persen,
11,Aceh,1107,Meulaboh,2019,April,2.46,Persen,
11,Aceh,1107,Meulaboh,2019,Mei,3.24,Persen,
11,Aceh,1107,Meulaboh,2019,Juni,4.38,Persen,
11,Aceh,1107,Meulaboh,2019,Juli,3.87,Persen,
11,Aceh,1107,Meulaboh,2019,Agustus,3.84,Persen,
11,Aceh,1107,Meulaboh,2019,September,5.21,Persen,
11,Aceh,1107,Meulaboh,2019,Oktober,5.58,Persen,
11,Aceh,1107,Meulaboh,2019,November,4.79,Persen,
11,Aceh,1107,Meulaboh,2019,Desember,4.28,Persen,
11,Aceh,1171,Banda Aceh,2020,Januari,1.81,Persen,
11,Aceh,1171,Banda Aceh,2020,Februari,2.76,Persen,
11,Aceh,1171,Banda Aceh,2020,Maret,3.72,Persen,
11,Aceh,1171,Banda Aceh,2020,April,3.15,Persen,
11,Aceh,1171,Banda Aceh,2020,Mei,2.07,Persen,
11,Aceh,1171,Banda Aceh,2020,Juni,1.31,Persen,
11,Aceh,1171,Banda Aceh,2020,Juli,1.16,Persen,
11,Aceh,1171,Banda Aceh,2020,Agustus,1.62,Persen,
11,Aceh,1171,Banda Aceh,2020,September,1.9,Persen,
11,Aceh,1171,Banda Aceh,2020,Oktober,2.44,Persen,
11,Aceh,1171,Banda Aceh,2020,November,2.84,Persen,
11,Aceh,1171,Banda Aceh,2020,Desember,3.46,Persen,
11,Aceh,1174,Lhokseumawe,2020,Januari,1.63,Persen,
11,Aceh,1174,Lhokseumawe,2020,Februari,2.46,Persen,
11,Aceh,1174,Lhokseumawe,2020,Maret,3.36,Persen,
11,Aceh,1174,Lhokseumawe,2020,April,2.27,Persen,
11,Aceh,1174,Lhokseumawe,2020,Mei,1.58,Persen,
11,Aceh,1174,Lhokseumawe,2020,Juni,1.08,Persen,
11,Aceh,1174,Lhokseumawe,2020,Juli,0.47,Persen,
11,Aceh,1174,Lhokseumawe,2020,Agustus,1.03,Persen,
11,Aceh,1174,Lhokseumawe,2020,September,1.67,Persen,
11,Aceh,1174,Lhokseumawe,2020,Oktober,2.14,Persen,
11,Aceh,1174,Lhokseumawe,2020,November,2.65,Persen,
11,Aceh,1174,Lhokseumawe,2020,Desember,3.55,Persen,
11,Aceh,1107,Meulaboh,2020,Januari,4.63,Persen,
11,Aceh,1107,Meulaboh,2020,Februari,5.23,Persen,
11,Aceh,1107,Meulaboh,2020,Maret,5.49,Persen,
11,Aceh,1107,Meulaboh,2020,April,4.94,Persen,
11,Aceh,1107,Meulaboh,2020,Mei,4.13,Persen,
11,Aceh,1107,Meulaboh,2020,Juni,2.13,Persen,
11,Aceh,1107,Meulaboh,2020,Juli,1.75,Persen,
11,Aceh,1107,Meulaboh,2020,Agustus,2.6,Persen,
11,Aceh,1107,Meulaboh,2020,September,2.3,Persen,
11,Aceh,1107,Meulaboh,2020,Oktober,2,Persen,
11,Aceh,1107,Meulaboh,2020,November,2.6,Persen,
11,Aceh,1107,Meulaboh,2020,Desember,4.24,Persen,
11,Aceh,1171,Banda Aceh,2021,Januari,3.47,Persen,
11,Aceh,1171,Banda Aceh,2021,Februari,2.33,Persen,
11,Aceh,1171,Banda Aceh,2021,Maret,1.26,Persen,
11,Aceh,1171,Banda Aceh,2021,April,1.87,Persen,
11,Aceh,1171,Banda Aceh,2021,Mei,1.73,Persen,
11,Aceh,1171,Banda Aceh,2021,Juni,1.87,Persen,
11,Aceh,1171,Banda Aceh,2021,Juli,2.07,Persen,
11,Aceh,1171,Banda Aceh,2021,Agustus,1.88,Persen,
11,Aceh,1171,Banda Aceh,2021,September,2.07,Persen,
11,Aceh,1171,Banda Aceh,2021,Oktober,1.82,Persen,
11,Aceh,1171,Banda Aceh,2021,November,2.51,Persen,
11,Aceh,1171,Banda Aceh,2021,Desember,2.41,Persen,
11,Aceh,1174,Lhokseumawe,2021,Januari,4.29,Persen,
11,Aceh,1174,Lhokseumawe,2021,Februari,3.06,Persen,
11,Aceh,1174,Lhokseumawe,2021,Maret,2.31,Persen,
11,Aceh,1174,Lhokseumawe,2021,April,3.04,Persen,
11,Aceh,1174,Lhokseumawe,2021,Mei,3.18,Persen,
11,Aceh,1174,Lhokseumawe,2021,Juni,3.18,Persen,
11,Aceh,1174,Lhokseumawe,2021,Juli,3.47,Persen,
11,Aceh,1174,Lhokseumawe,2021,Agustus,2.94,Persen,
11,Aceh,1174,Lhokseumawe,2021,September,2.53,Persen,
11,Aceh,1174,Lhokseumawe,2021,Oktober,2.13,Persen,
11,Aceh,1174,Lhokseumawe,2021,November,2.66,Persen,
11,Aceh,1174,Lhokseumawe,2021,Desember,1.97,Persen,
11,Aceh,1107,Meulaboh,2021,Januari,3.61,Persen,
11,Aceh,1107,Meulaboh,2021,Februari,2.73,Persen,
11,Aceh,1107,Meulaboh,2021,Maret,1.62,Persen,
11,Aceh,1107,Meulaboh,2021,April,2.39,Persen,
11,Aceh,1107,Meulaboh,2021,Mei,2.73,Persen,
11,Aceh,1107,Meulaboh,2021,Juni,2.86,Persen,
11,Aceh,1107,Meulaboh,2021,Juli,3.16,Persen,
11,Aceh,1107,Meulaboh,2021,Agustus,2.23,Persen,
11,Aceh,1107,Meulaboh,2021,September,1.48,Persen,
11,Aceh,1107,Meulaboh,2021,Oktober,1.79,Persen,
11,Aceh,1107,Meulaboh,2021,November,2.29,Persen,
11,Aceh,1107,Meulaboh,2021,Desember,2.07,Persen,
11,Aceh,1171,Banda Aceh,2022,Januari,2.65,Persen,
11,Aceh,1171,Banda Aceh,2022,Februari,2.88,Persen,
11,Aceh,1171,Banda Aceh,2022,Maret,3.96,Persen,
11,Aceh,1171,Banda Aceh,2022,April,4.68,Persen,
11,Aceh,1171,Banda Aceh,2022,Mei,5.46,Persen,
11,Aceh,1171,Banda Aceh,2022,Juni,6.31,Persen,
11,Aceh,1171,Banda Aceh,2022,Juli,7.5,Persen,
11,Aceh,1171,Banda Aceh,2022,Agustus,6.87,Persen,
11,Aceh,1171,Banda Aceh,2022,September,7.85,Persen,
11,Aceh,1174,Lhokseumawe,2022,Januari,2.3,Persen,
11,Aceh,1174,Lhokseumawe,2022,Februari,2,Persen,
11,Aceh,1174,Lhokseumawe,2022,Maret,2.96,Persen,
11,Aceh,1174,Lhokseumawe,2022,April,3.81,Persen,
11,Aceh,1174,Lhokseumawe,2022,Mei,4.68,Persen,
11,Aceh,1174,Lhokseumawe,2022,Juni,5.23,Persen,
11,Aceh,1174,Lhokseumawe,2022,Juli,5.8,Persen,
11,Aceh,1174,Lhokseumawe,2022,Agustus,4.99,Persen,
11,Aceh,1174,Lhokseumawe,2022,September,6.1,Persen,
11,Aceh,1107,Meulaboh,2022,Januari,2.19,Persen,
11,Aceh,1107,Meulaboh,2022,Februari,2.27,Persen,
11,Aceh,1107,Meulaboh,2022,Maret,3.56,Persen,
11,Aceh,1107,Meulaboh,2022,April,4.27,Persen,
11,Aceh,1107,Meulaboh,2022,Mei,4.75,Persen,
11,Aceh,1107,Meulaboh,2022,Juni,6.21,Persen,
11,Aceh,1107,Meulaboh,2022,Juli,7.18,Persen,
11,Aceh,1107,Meulaboh,2022,Agustus,6.86,Persen,
11,Aceh,1107,Meulaboh,2022,September,8.02,Persen,
11,Aceh,1171,Banda Aceh,2023,Februari,6.54,Persen,
11,Aceh,1171,Banda Aceh,2023,Januari,5.58,Persen,
11,Aceh,1171,Banda Aceh,2023,Maret,5.32,Persen,
11,Aceh,1171,Banda Aceh,2023,April,4.23,Persen,
11,Aceh,1171,Banda Aceh,2023,Mei,3.41,Persen,
11,Aceh,1171,Banda Aceh,2023,Juni,2.7,Persen,
11,Aceh,1171,Banda Aceh,2023,Juli,2.01,Persen,
11,Aceh,1171,Banda Aceh,2023,Agustus,2.06,Persen,
11,Aceh,1171,Banda Aceh,2023,September,1.4,Persen,
11,Aceh,1171,Banda Aceh,2023,Oktober,1.65,Persen,
11,Aceh,1171,Banda Aceh,2023,November,1.93,Persen,
11,Aceh,1171,Banda Aceh,2023,Desember,1.53,Persen,
11,Aceh,1174,Lhokseumawe,2023,Februari,6.58,Persen,
11,Aceh,1174,Lhokseumawe,2023,Januari,4.98,Persen,
11,Aceh,1174,Lhokseumawe,2023,Maret,5.35,Persen,
11,Aceh,1174,Lhokseumawe,2023,April,3.61,Persen,
11,Aceh,1174,Lhokseumawe,2023,Mei,3.08,Persen,
11,Aceh,1174,Lhokseumawe,2023,Juni,2.69,Persen,
11,Aceh,1174,Lhokseumawe,2023,Juli,2.16,Persen,
11,Aceh,1174,Lhokseumawe,2023,Agustus,3.2,Persen,
11,Aceh,1174,Lhokseumawe,2023,September,2.55,Persen,
11,Aceh,1174,Lhokseumawe,2023,Oktober,2.4,Persen,
11,Aceh,1174,Lhokseumawe,2023,November,2.97,Persen,
11,Aceh,1174,Lhokseumawe,2023,Desember,1.56,Persen,
11,Aceh,1107,Meulaboh,2023,Februari,7.72,Persen,
11,Aceh,1107,Meulaboh,2023,Januari,6.36,Persen,
11,Aceh,1107,Meulaboh,2023,Maret,6.27,Persen,
11,Aceh,1107,Meulaboh,2023,April,4.26,Persen,
11,Aceh,1107,Meulaboh,2023,Mei,3.56,Persen,
11,Aceh,1107,Meulaboh,2023,Juni,2.69,Persen,
11,Aceh,1107,Meulaboh,2023,Juli,1.77,Persen,
11,Aceh,1107,Meulaboh,2023,Agustus,2.17,Persen,
11,Aceh,1107,Meulaboh,2023,September,2.13,Persen,
11,Aceh,1107,Meulaboh,2023,Oktober,2.24,Persen,
11,Aceh,1107,Meulaboh,2023,November,3.11,Persen,
11,Aceh,1107,Meulaboh,2023,Desember,1.42,Persen,
